Province,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ACEH,25845,30118,30121,29460,31133,33034,34749,35482,36455,37060,38675,38295,38018,38094,37231,33571,31409,30657,27075,31868,33147,30119,27376,26991,25879,24090,22369,22594,22705,23099,23229,23129,22524,22837,23367
NORTH SUMATERA,7746,8162,8323,8668,9232,10062,10798,11416,12033,12748,13534,14590,15725,16852,17567,15445,15634,16750,17283,17932,18627,19441,20240,21060,22228,23356,24246,25503,26711,28037,29339,30477,31637,32885,34184
WEST SUMATERA,7363,7635,7833,8096,8383,8791,9273,9737,10187,10700,11268,11928,12821,13620,14123,13029,13029,14599,14995,15420,16011,16493,17228,18156,19057,20107,20706,21667,22639,23744,24858,25983,27081,28165,29308
RIAU ,75576,65336,59880,64510,68886,68444,68823,70478,69197,73273,69148,69751,70749,71574,71565,66543,66325,71199,71198,71015,70954,65652,67676,66145,66680,68711,69051,70161,71638,72396,72297,72391,70770,70604,70806
RIAU ISLANDS,76261,65689,60001,64440,68619,68002,68215,70128,68164,71397,66705,66145,65969,66701,61909,56954,57465,60089,59117,58937,59801,63167,62558,63409,64630,65665,64798,66238,68024,70930,73743,76314,78625,80331,79800
JAMBI,10958,11196,11594,11823,12274,13158,14118,14799,15123,15661,16292,17071,18048,18930,19078,17502,17478,20618,21322,21887,22286,22940,23756,24618,25675,26871,27930,29305,30857,32418,34012,35878,36754,37729,38850
SOUTH SUMATERA,13637,14824,15123,15331,14847,15268,15952,15319,15432,15748,16094,16806,17857,18722,19197,17441,17530,19857,20036,20371,20825,21550,22127,22693,23628,24429,25035,26041,27158,28578,29657,30636,31549,32699,34056
BANGKA BELITUNG ISLANDS,14612,16027,16498,16877,16492,17115,18045,17635,17943,18489,19090,20118,21559,22932,23606,21735,22322,22452,23110,24057,26463,26219,26025,26167,26806,27483,27958,29071,30212,31172,32081,32860,33480,34135,34949
BENGKULU,6988,7153,7383,7829,8060,8549,8777,8948,9356,9689,10126,10450,10890,11080,11041,10007,9836,10595,10700,10865,12419,12867,13179,14003,14654,15236,15829,16527,17282,18144,18919,19627,20302,21042,21755
LAMPUNG,6077,6631,6939,7427,7921,8283,8709,9060,9316,10237,10793,11346,12332,13023,13319,12175,12281,13695,14040,14689,15384,15678,16071,16816,17564,18245,18943,19789,20739,21795,22771,23647,24582,25571,26619
JAKARTA,35266,37461,37755,38228,39074,40215,42672,51070,53910,57340,60884,64779,69383,74891,77748,63369,61797,74067,76350,78823,104479,107068,111855,92823,97556,102379,106275,111948,117673,123962,130060,136312,142914,149848,157684
WEST JAVA,8753,10028,10404,10839,11010,11626,12287,13089,13740,14443,15176,15994,17045,18256,18831,15234,15299,15434,15579,15803,16168,16608,17294,17984,18826,19662,20152,21059,21977,23036,24118,24967,25846,26922,27956
BANTEN,14461,16293,16622,17024,16997,17641,18325,20353,21008,21712,22385,23171,22912,25543,25918,20626,20359,20146,20499,20655,20688,20791,21448,22649,23414,24150,24664,25532,26549,27716,28911,29847,30813,31781,32933
CENTRAL JAVA,5954,6637,7108,7450,7796,8194,8620,9099,9667,10302,10847,11519,12295,13091,13406,9827,12100,12156,12485,12862,13416,14028,14643,15836,16627,17466,18271,19246,20054,20951,21845,22819,23887,24966,26098
YOGYAKARTA,7050,7437,7500,8035,8315,8762,9257,9616,10110,10807,11433,12361,13353,14405,14927,13260,13721,13272,13769,14317,14900,15531,16020,16062,16623,17327,17963,18707,19387,20184,21038,21868,22688,23566,24534
EAST JAVA,9061,9515,9932,10431,10821,11412,12129,12941,13736,14580,15462,16453,17691,18995,19662,16389,16380,16645,17127,17631,18332,19255,20261,21438,22621,23836,24902,26434,27864,29508,31092,32703,34272,35971,37720
BALI,7575,8204,8803,9350,10024,10719,11520,12368,13275,14309,15449,16475,17682,18937,20186,18952,18950,18747,18888,19006,18685,19191,19889,20704,21521,22391,23166,24095,25266,26690,28130,29669,31094,32687,34137
WEST NUSA TENGGARA,4518,4899,4949,5140,5190,5403,5760,6121,6465,6905,7164,7570,8078,8588,8914,8468,8562,11027,11664,11900,12187,12774,12806,12920,13328,13482,14880,15582,14706,14277,14810,15370,18475,19309,19099
EAST NUSA TENGGARA,3755,3965,4042,4181,4266,4360,4521,4739,4964,5250,5640,6019,6463,6873,7147,6848,6933,7086,7304,7542,7766,8034,8192,8326,8591,8841,9054,9361,9676,10031,10397,10742,11088,11474,11875
WEST KALIMANTAN,6380,6567,6843,7650,8137,9226,9408,9787,10179,10639,11148,11719,12605,13599,14316,13360,13446,14662,14824,15229,15446,15808,16135,16936,17650,18300,18865,19578,20227,21062,21972,22713,23457,24311,25202
CENTRAL KALIMANTAN,11743,11920,12200,12918,13336,13931,14035,14423,15150,15994,16308,17077,18185,19634,20277,18346,17810,16181,16540,17200,17521,20909,21653,21730,22613,23564,24426,25555,26589,27749,29106,30217,31619,32903,34378
SOUTH KALIMANTAN,8857,9228,9279,9332,9905,10490,10978,11450,12014,12790,13696,14573,15616,16782,17198,15928,15870,17482,18024,18331,18208,18933,19764,20042,20887,21861,22640,23522,24568,25548,26424,27220,27787,28539,29580
EAST KALIMANTAN,115825,134672,129974,125446,119991,114674,112506,114086,116376,119202,117313,122904,123989,127927,128207,122249,122221,142399,141081,135805,131365,132140,132550,128242,126135,128037,125801,127915,131607,134905,134588,133086,128603,125409,126655
NORTH KALIMANTAN,36328,42240,40766,39346,37635,35967,35288,35782,36504,37382,36805,38527,38933,40033,40395,37995,39031,46597,47391,48156,49020,51596,53635,53084,53918,55366,60743,63371,65810,69159,71990,77153,76823,76786,78915
NORTH SULAWESI,6864,6859,6987,7130,7409,7813,8142,8772,9459,10171,11007,11684,12518,13507,14055,13536,14098,15197,15325,15378,15759,15714,16362,17413,18340,20118,21473,22779,23813,25146,26446,27806,29196,30683,32302
CENTRAL SULAWESI ,6708,6705,6835,7098,7393,7784,8230,8704,9214,9731,10311,10814,11456,12045,12303,11529,11566,12546,12876,13304,14346,14274,15070,15704,16587,17493,18443,19640,21106,22724,24491,25316,28779,31164,32886
